VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	15:19:55	04/06/2016

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	Ch0(V)
04/06/2016	15:25:59.4	    -3.900
04/06/2016	15:25:59.5	    -3.900
04/06/2016	15:25:59.6	    -3.942
04/06/2016	15:25:59.7	    -3.898
04/06/2016	15:25:59.8	    -3.904
04/06/2016	15:25:59.9	    -3.905
04/06/2016	15:26:00.0	    -3.902
04/06/2016	15:26:00.1	    -3.904
04/06/2016	15:26:00.2	    -3.903
04/06/2016	15:26:00.3	    -3.905
04/06/2016	15:26:00.4	    -3.897
04/06/2016	15:26:00.5	    -3.884
04/06/2016	15:26:00.6	    -3.866
04/06/2016	15:26:00.7	    -3.855
04/06/2016	15:26:00.8	    -3.835
04/06/2016	15:26:00.9	    -3.818
04/06/2016	15:26:01.0	    -3.801
04/06/2016	15:26:01.1	    -3.777
04/06/2016	15:26:01.2	    -3.763
04/06/2016	15:26:01.3	    -3.740
04/06/2016	15:26:01.4	    -3.713
04/06/2016	15:26:01.5	    -3.693
04/06/2016	15:26:01.6	    -3.668
04/06/2016	15:26:01.7	    -3.644
04/06/2016	15:26:01.8	    -3.619
04/06/2016	15:26:01.9	    -3.591
04/06/2016	15:26:02.0	    -3.563
04/06/2016	15:26:02.1	    -3.536
04/06/2016	15:26:02.2	    -3.507
04/06/2016	15:26:02.3	    -3.477
04/06/2016	15:26:02.4	    -3.449
04/06/2016	15:26:02.5	    -3.419
04/06/2016	15:26:02.6	    -3.391
04/06/2016	15:26:02.7	    -3.358
04/06/2016	15:26:02.8	    -3.327
04/06/2016	15:26:02.9	    -3.297
04/06/2016	15:26:03.0	    -3.266
04/06/2016	15:26:03.1	    -3.184
04/06/2016	15:26:03.2	    -3.200
04/06/2016	15:26:03.3	    -3.168
04/06/2016	15:26:03.4	    -3.134
04/06/2016	15:26:03.5	    -3.101
04/06/2016	15:26:03.6	    -3.064
04/06/2016	15:26:03.7	    -3.029
04/06/2016	15:26:03.8	    -2.997
04/06/2016	15:26:03.9	    -2.959
04/06/2016	15:26:04.0	    -2.927
04/06/2016	15:26:04.1	    -2.890
04/06/2016	15:26:04.2	    -2.849
04/06/2016	15:26:04.3	    -2.814
04/06/2016	15:26:04.4	    -2.775
04/06/2016	15:26:04.5	    -2.733
04/06/2016	15:26:04.6	    -2.696
04/06/2016	15:26:04.7	    -2.657
04/06/2016	15:26:04.8	    -2.615
04/06/2016	15:26:04.9	    -2.579
04/06/2016	15:26:05.0	    -2.535
04/06/2016	15:26:05.1	    -2.494
04/06/2016	15:26:05.2	    -2.451
04/06/2016	15:26:05.3	    -2.418
04/06/2016	15:26:05.4	    -2.417
04/06/2016	15:26:05.5	    -2.421
04/06/2016	15:26:05.6	    -2.434
04/06/2016	15:26:05.7	    -2.452
04/06/2016	15:26:05.8	    -2.467
04/06/2016	15:26:05.9	    -2.492
04/06/2016	15:26:06.0	    -2.514
04/06/2016	15:26:06.1	    -2.539
04/06/2016	15:26:06.2	    -2.567
04/06/2016	15:26:06.3	    -2.590
04/06/2016	15:26:06.4	    -2.615
04/06/2016	15:26:06.5	    -2.703
04/06/2016	15:26:06.6	    -2.671
04/06/2016	15:26:06.7	    -2.691
04/06/2016	15:26:06.8	    -2.719
04/06/2016	15:26:06.9	    -2.744
04/06/2016	15:26:07.0	    -2.770
04/06/2016	15:26:07.1	    -2.795
04/06/2016	15:26:07.2	    -2.825
04/06/2016	15:26:07.3	    -2.848
04/06/2016	15:26:07.4	    -2.873
04/06/2016	15:26:07.5	    -2.900
04/06/2016	15:26:07.6	    -2.922
04/06/2016	15:26:07.7	    -2.948
04/06/2016	15:26:07.8	    -2.973
04/06/2016	15:26:07.9	    -2.997
04/06/2016	15:26:08.0	    -3.021
04/06/2016	15:26:08.1	    -3.042
04/06/2016	15:26:08.2	    -3.080
04/06/2016	15:26:08.3	    -3.089
04/06/2016	15:26:08.4	    -3.119
04/06/2016	15:26:08.5	    -3.135
04/06/2016	15:26:08.6	    -3.159
04/06/2016	15:26:08.7	    -3.181
04/06/2016	15:26:08.8	    -3.199
04/06/2016	15:26:08.9	    -3.226
04/06/2016	15:26:09.0	    -3.246
04/06/2016	15:26:09.1	    -3.267
04/06/2016	15:26:09.2	    -3.288
04/06/2016	15:26:09.3	    -3.311
04/06/2016	15:26:09.4	    -3.333
04/06/2016	15:26:09.5	    -3.354
04/06/2016	15:26:09.6	    -3.373
04/06/2016	15:26:09.7	    -3.394
04/06/2016	15:26:09.8	    -3.417
04/06/2016	15:26:09.9	    -3.436
04/06/2016	15:26:10.0	    -3.457
04/06/2016	15:26:10.1	    -3.478
04/06/2016	15:26:10.2	    -3.498
04/06/2016	15:26:10.3	    -3.515
04/06/2016	15:26:10.4	    -3.515
04/06/2016	15:26:10.5	    -3.503
04/06/2016	15:26:10.6	    -3.489
04/06/2016	15:26:10.7	    -3.477
04/06/2016	15:26:10.8	    -3.465
04/06/2016	15:26:10.9	    -3.448
04/06/2016	15:26:11.0	    -3.433
04/06/2016	15:26:11.1	    -3.412
04/06/2016	15:26:11.2	    -3.397
04/06/2016	15:26:11.3	    -3.378
04/06/2016	15:26:11.4	    -3.358
04/06/2016	15:26:11.5	    -3.340
04/06/2016	15:26:11.6	    -3.322
04/06/2016	15:26:11.7	    -3.282
04/06/2016	15:26:11.8	    -3.282
04/06/2016	15:26:11.9	    -3.260
04/06/2016	15:26:12.0	    -3.241
04/06/2016	15:26:12.1	    -3.219
04/06/2016	15:26:12.2	    -3.197
04/06/2016	15:26:12.3	    -3.175
04/06/2016	15:26:12.4	    -3.159
04/06/2016	15:26:12.5	    -3.132
04/06/2016	15:26:12.6	    -3.104
04/06/2016	15:26:12.7	    -3.079
04/06/2016	15:26:12.8	    -3.056
04/06/2016	15:26:12.9	    -3.029
04/06/2016	15:26:13.0	    -3.004
04/06/2016	15:26:13.1	    -2.976
04/06/2016	15:26:13.2	    -2.948
04/06/2016	15:26:13.3	    -2.921
04/06/2016	15:26:13.4	    -2.891
04/06/2016	15:26:13.5	    -2.861
04/06/2016	15:26:13.6	    -2.829
04/06/2016	15:26:13.7	    -2.794
04/06/2016	15:26:13.8	    -2.762
04/06/2016	15:26:13.9	    -2.729
04/06/2016	15:26:14.0	    -2.699
04/06/2016	15:26:14.1	    -2.664
04/06/2016	15:26:14.2	    -2.634
04/06/2016	15:26:14.3	    -2.601
04/06/2016	15:26:14.4	    -2.567
04/06/2016	15:26:14.5	    -2.533
04/06/2016	15:26:14.6	    -2.498
04/06/2016	15:26:14.7	    -2.465
04/06/2016	15:26:14.8	    -2.430
04/06/2016	15:26:14.9	    -2.395
