VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	14:10:44	04/06/2016

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	Ch0(V)
04/06/2016	14:16:35.6	    -3.222
04/06/2016	14:16:35.7	    -3.220
04/06/2016	14:16:35.8	    -3.222
04/06/2016	14:16:35.9	    -3.221
04/06/2016	14:16:36.0	    -3.220
04/06/2016	14:16:36.1	    -3.220
04/06/2016	14:16:36.2	    -3.221
04/06/2016	14:16:36.3	    -3.221
04/06/2016	14:16:36.4	    -3.219
04/06/2016	14:16:36.5	    -3.221
04/06/2016	14:16:36.6	    -3.224
04/06/2016	14:16:36.7	    -3.220
04/06/2016	14:16:36.8	    -3.219
04/06/2016	14:16:36.9	    -3.219
04/06/2016	14:16:37.0	    -3.220
04/06/2016	14:16:37.1	    -3.210
04/06/2016	14:16:37.2	    -3.188
04/06/2016	14:16:37.3	    -3.169
04/06/2016	14:16:37.4	    -3.141
04/06/2016	14:16:37.5	    -3.122
04/06/2016	14:16:37.6	    -3.095
04/06/2016	14:16:37.7	    -3.070
04/06/2016	14:16:37.8	    -3.041
04/06/2016	14:16:37.9	    -3.013
04/06/2016	14:16:38.0	    -2.988
04/06/2016	14:16:38.1	    -2.957
04/06/2016	14:16:38.2	    -2.931
04/06/2016	14:16:38.3	    -2.898
04/06/2016	14:16:38.4	    -2.867
04/06/2016	14:16:38.5	    -2.838
04/06/2016	14:16:38.6	    -2.804
04/06/2016	14:16:38.7	    -2.773
04/06/2016	14:16:38.8	    -2.740
04/06/2016	14:16:38.9	    -2.704
04/06/2016	14:16:39.0	    -2.673
04/06/2016	14:16:39.1	    -2.634
04/06/2016	14:16:39.2	    -2.604
04/06/2016	14:16:39.3	    -2.562
04/06/2016	14:16:39.4	    -2.531
04/06/2016	14:16:39.5	    -2.491
04/06/2016	14:16:39.6	    -2.455
04/06/2016	14:16:39.7	    -2.413
04/06/2016	14:16:39.8	    -2.377
04/06/2016	14:16:39.9	    -2.336
04/06/2016	14:16:40.0	    -2.298
04/06/2016	14:16:40.1	    -2.257
04/06/2016	14:16:40.2	    -2.216
04/06/2016	14:16:40.3	    -2.174
04/06/2016	14:16:40.4	    -2.133
04/06/2016	14:16:40.5	    -2.089
04/06/2016	14:16:40.6	    -2.048
04/06/2016	14:16:40.7	    -2.003
04/06/2016	14:16:40.8	    -1.970
04/06/2016	14:16:40.9	    -1.917
04/06/2016	14:16:41.0	    -1.871
04/06/2016	14:16:41.1	    -1.828
04/06/2016	14:16:41.2	    -1.773
04/06/2016	14:16:41.3	    -1.735
04/06/2016	14:16:41.4	    -1.688
04/06/2016	14:16:41.5	    -1.641
04/06/2016	14:16:41.6	    -1.594
04/06/2016	14:16:41.7	    -1.547
04/06/2016	14:16:41.8	    -1.495
04/06/2016	14:16:41.9	    -1.449
04/06/2016	14:16:42.0	    -1.396
04/06/2016	14:16:42.1	    -1.395
04/06/2016	14:16:42.2	    -1.406
04/06/2016	14:16:42.3	    -1.422
04/06/2016	14:16:42.4	    -1.446
04/06/2016	14:16:42.5	    -1.472
04/06/2016	14:16:42.6	    -1.497
04/06/2016	14:16:42.7	    -1.530
04/06/2016	14:16:42.8	    -1.557
04/06/2016	14:16:42.9	    -1.593
04/06/2016	14:16:43.0	    -1.618
04/06/2016	14:16:43.1	    -1.658
04/06/2016	14:16:43.2	    -1.689
04/06/2016	14:16:43.3	    -1.724
04/06/2016	14:16:43.4	    -1.758
04/06/2016	14:16:43.5	    -1.793
04/06/2016	14:16:43.6	    -1.828
04/06/2016	14:16:43.7	    -1.863
04/06/2016	14:16:43.8	    -1.893
04/06/2016	14:16:43.9	    -1.929
04/06/2016	14:16:44.0	    -1.962
04/06/2016	14:16:44.1	    -1.996
04/06/2016	14:16:44.2	    -2.031
04/06/2016	14:16:44.3	    -2.061
04/06/2016	14:16:44.4	    -2.094
04/06/2016	14:16:44.5	    -2.127
04/06/2016	14:16:44.6	    -2.162
04/06/2016	14:16:44.7	    -2.192
04/06/2016	14:16:44.8	    -2.226
04/06/2016	14:16:44.9	    -2.258
04/06/2016	14:16:45.0	    -2.290
04/06/2016	14:16:45.1	    -2.322
04/06/2016	14:16:45.2	    -2.350
04/06/2016	14:16:45.3	    -2.383
04/06/2016	14:16:45.4	    -2.414
04/06/2016	14:16:45.5	    -2.445
04/06/2016	14:16:45.6	    -2.473
04/06/2016	14:16:45.7	    -2.507
04/06/2016	14:16:45.8	    -2.535
04/06/2016	14:16:45.9	    -2.565
04/06/2016	14:16:46.0	    -2.592
04/06/2016	14:16:46.1	    -2.627
04/06/2016	14:16:46.2	    -2.653
04/06/2016	14:16:46.3	    -2.683
04/06/2016	14:16:46.4	    -2.715
04/06/2016	14:16:46.5	    -2.742
04/06/2016	14:16:46.6	    -2.769
04/06/2016	14:16:46.7	    -2.799
04/06/2016	14:16:46.8	    -2.828
04/06/2016	14:16:46.9	    -2.857
04/06/2016	14:16:47.0	    -2.880
04/06/2016	14:16:47.1	    -2.880
04/06/2016	14:16:47.2	    -2.857
04/06/2016	14:16:47.3	    -2.844
04/06/2016	14:16:47.4	    -2.814
04/06/2016	14:16:47.5	    -2.794
04/06/2016	14:16:47.6	    -2.764
04/06/2016	14:16:47.7	    -2.743
04/06/2016	14:16:47.8	    -2.713
04/06/2016	14:16:47.9	    -2.690
04/06/2016	14:16:48.0	    -2.656
04/06/2016	14:16:48.1	    -2.633
04/06/2016	14:16:48.2	    -2.603
04/06/2016	14:16:48.3	    -2.576
04/06/2016	14:16:48.4	    -2.545
04/06/2016	14:16:48.5	    -2.518
04/06/2016	14:16:48.6	    -2.487
04/06/2016	14:16:48.7	    -2.457
04/06/2016	14:16:48.8	    -2.428
04/06/2016	14:16:48.9	    -2.397
04/06/2016	14:16:49.0	    -2.366
04/06/2016	14:16:49.1	    -2.336
04/06/2016	14:16:49.2	    -2.302
04/06/2016	14:16:49.3	    -2.275
04/06/2016	14:16:49.4	    -2.245
04/06/2016	14:16:49.5	    -2.204
04/06/2016	14:16:49.6	    -2.168
04/06/2016	14:16:49.7	    -2.133
04/06/2016	14:16:49.8	    -2.102
04/06/2016	14:16:49.9	    -2.065
04/06/2016	14:16:50.0	    -2.031
04/06/2016	14:16:50.1	    -1.994
04/06/2016	14:16:50.2	    -1.960
04/06/2016	14:16:50.3	    -1.920
04/06/2016	14:16:50.4	    -1.883
04/06/2016	14:16:50.5	    -1.847
04/06/2016	14:16:50.6	    -1.807
04/06/2016	14:16:50.7	    -1.771
04/06/2016	14:16:50.8	    -1.730
04/06/2016	14:16:50.9	    -1.691
04/06/2016	14:16:51.0	    -1.655
04/06/2016	14:16:51.1	    -1.609
