VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	10:00:06	10/22/2015

USER	


START COMMENT



END COMMENT

START DATA
Date	Time	Ch4()
10/22/2015	10:06:36.67	  -4.13330
10/22/2015	10:06:36.71	  -4.10004
10/22/2015	10:06:36.75	  -4.10492
10/22/2015	10:06:36.79	  -4.11377
10/22/2015	10:06:36.83	  -4.07990
10/22/2015	10:06:36.87	  -4.13544
10/22/2015	10:06:36.91	  -4.09271
10/22/2015	10:06:36.95	  -4.10309
10/22/2015	10:06:36.99	  -4.11438
10/22/2015	10:06:37.03	  -4.08203
10/22/2015	10:06:37.07	  -4.12933
10/22/2015	10:06:37.11	  -4.09851
10/22/2015	10:06:37.15	  -4.10553
10/22/2015	10:06:37.19	  -4.11133
10/22/2015	10:06:37.23	  -4.07715
10/22/2015	10:06:37.27	  -4.13727
10/22/2015	10:06:37.31	  -4.09302
10/22/2015	10:06:37.35	  -4.10370
10/22/2015	10:06:37.39	  -4.11499
10/22/2015	10:06:37.43	  -4.08142
10/22/2015	10:06:37.47	  -4.12933
10/22/2015	10:06:37.51	  -4.09668
10/22/2015	10:06:37.55	  -4.10645
10/22/2015	10:06:37.59	  -4.11285
10/22/2015	10:06:37.63	  -4.07562
10/22/2015	10:06:37.67	  -4.13330
10/22/2015	10:06:37.71	  -4.09912
10/22/2015	10:06:37.75	  -4.10187
10/22/2015	10:06:37.79	  -4.10950
10/22/2015	10:06:37.83	  -4.07898
10/22/2015	10:06:37.87	  -4.13666
10/22/2015	10:06:37.91	  -4.09363
10/22/2015	10:06:37.95	  -4.10645
10/22/2015	10:06:37.99	  -4.11346
10/22/2015	10:06:38.03	  -4.07776
10/22/2015	10:06:38.07	  -4.13330
10/22/2015	10:06:38.11	  -4.09790
10/22/2015	10:06:38.15	  -4.10553
10/22/2015	10:06:38.19	  -4.11133
10/22/2015	10:06:38.23	  -4.07745
10/22/2015	10:06:38.27	  -4.13574
10/22/2015	10:06:38.31	  -4.09393
10/22/2015	10:06:38.35	  -4.10095
10/22/2015	10:06:38.39	  -4.10858
10/22/2015	10:06:38.43	  -4.08173
10/22/2015	10:06:38.47	  -4.13025
10/22/2015	10:06:38.51	  -4.09576
10/22/2015	10:06:38.55	  -4.10187
10/22/2015	10:06:38.59	  -4.10706
10/22/2015	10:06:38.63	  -4.08417
10/22/2015	10:06:38.67	  -4.13116
10/22/2015	10:06:38.71	  -4.09851
10/22/2015	10:06:38.75	  -4.10126
10/22/2015	10:06:38.79	  -4.10950
10/22/2015	10:06:38.83	  -4.07990
10/22/2015	10:06:38.87	  -4.13788
10/22/2015	10:06:38.91	  -4.09271
10/22/2015	10:06:38.95	  -4.10065
10/22/2015	10:06:38.99	  -4.11041
10/22/2015	10:06:39.03	  -4.07959
10/22/2015	10:06:39.07	  -4.13635
10/22/2015	10:06:39.11	  -4.09332
10/22/2015	10:06:39.15	  -4.10553
10/22/2015	10:06:39.19	  -4.10889
10/22/2015	10:06:39.23	  -4.07593
10/22/2015	10:06:39.27	  -4.13635
10/22/2015	10:06:39.31	  -4.09241
10/22/2015	10:06:39.35	  -4.10522
10/22/2015	10:06:39.39	  -4.10919
10/22/2015	10:06:39.43	  -4.08356
10/22/2015	10:06:39.47	  -4.13147
10/22/2015	10:06:39.51	  -4.09424
10/22/2015	10:06:39.55	  -4.10400
10/22/2015	10:06:39.59	  -4.11133
10/22/2015	10:06:39.63	  -4.07959
10/22/2015	10:06:39.67	  -4.13574
10/22/2015	10:06:39.71	  -4.09210
10/22/2015	10:06:39.75	  -4.10461
10/22/2015	10:06:39.79	  -4.10431
10/22/2015	10:06:39.83	  -4.07593
10/22/2015	10:06:39.87	  -4.13605
10/22/2015	10:06:39.91	  -4.09332
10/22/2015	10:06:39.95	  -4.10461
10/22/2015	10:06:39.99	  -4.10553
10/22/2015	10:06:40.03	  -4.07623
10/22/2015	10:06:40.07	  -4.13635
10/22/2015	10:06:40.11	  -4.09210
10/22/2015	10:06:40.15	  -4.10675
10/22/2015	10:06:40.19	  -4.10736
10/22/2015	10:06:40.23	  -4.07959
10/22/2015	10:06:40.27	  -4.13452
10/22/2015	10:06:40.31	  -4.09271
10/22/2015	10:06:40.35	  -4.10370
10/22/2015	10:06:40.39	  -4.10583
10/22/2015	10:06:40.43	  -4.07898
10/22/2015	10:06:40.47	  -4.13574
10/22/2015	10:06:40.51	  -4.09241
10/22/2015	10:06:40.55	  -4.10065
10/22/2015	10:06:40.59	  -4.11011
10/22/2015	10:06:40.63	  -4.07867
10/22/2015	10:06:40.67	  -4.13208
10/22/2015	10:06:40.71	  -4.09851
10/22/2015	10:06:40.75	  -4.09973
10/22/2015	10:06:40.79	  -4.10858
10/22/2015	10:06:40.83	  -4.08417
10/22/2015	10:06:40.87	  -4.13055
10/22/2015	10:06:40.91	  -4.09637
10/22/2015	10:06:40.95	  -4.09912
10/22/2015	10:06:40.99	  -4.11011
10/22/2015	10:06:41.03	  -4.07715
10/22/2015	10:06:41.07	  -4.13239
10/22/2015	10:06:41.11	  -4.09729
10/22/2015	10:06:41.15	  -4.10187
10/22/2015	10:06:41.19	  -4.10950
10/22/2015	10:06:41.23	  -4.07684
10/22/2015	10:06:41.27	  -4.13574
10/22/2015	10:06:41.31	  -4.09454
10/22/2015	10:06:41.35	  -4.09821
10/22/2015	10:06:41.39	  -4.10828
10/22/2015	10:06:41.43	  -4.07623
10/22/2015	10:06:41.47	  -4.13727
10/22/2015	10:06:41.51	  -4.09546
10/22/2015	10:06:41.55	  -4.10156
10/22/2015	10:06:41.59	  -4.10797
10/22/2015	10:06:41.63	  -4.07562
10/22/2015	10:06:41.67	  -4.13757
10/22/2015	10:06:41.71	  -4.09363
10/22/2015	10:06:41.75	  -4.09851
10/22/2015	10:06:41.79	  -4.11102
10/22/2015	10:06:41.83	  -4.07593
10/22/2015	10:06:41.87	  -4.13300
10/22/2015	10:06:41.91	  -4.09576
10/22/2015	10:06:41.95	  -4.10187
10/22/2015	10:06:41.99	  -4.10797
10/22/2015	10:06:42.03	  -4.07623
10/22/2015	10:06:42.07	  -4.13696
10/22/2015	10:06:42.11	  -4.09241
10/22/2015	10:06:42.15	  -4.10187
10/22/2015	10:06:42.19	  -4.10919
10/22/2015	10:06:42.23	  -4.07867
10/22/2015	10:06:42.27	  -4.13666
10/22/2015	10:06:42.31	  -4.08997
10/22/2015	10:06:42.35	  -4.10492
10/22/2015	10:06:42.39	  -4.10248
10/22/2015	10:06:42.43	  -4.08112
10/22/2015	10:06:42.47	  -4.13483
10/22/2015	10:06:42.51	  -4.09271
10/22/2015	10:06:42.55	  -4.10461
10/22/2015	10:06:42.59	  -4.10645
