Cycle,Time,Load (kN),Actuator (mm),External (mm),On-Specimen LVDT (mm)
1,0.000,0.0447,-7.779064,-0.393562,-0.265703
1,0.050,-0.1634,-7.787075,-0.387966,-0.266499
1,0.100,-0.2531,-7.795258,-0.380788,-0.267363
1,0.150,-0.3279,-7.802067,-0.374881,-0.267614
1,0.200,-0.3595,-7.808590,-0.368350,-0.267895
1,0.250,-0.4415,-7.816372,-0.361427,-0.268147
1,0.300,-0.4401,-7.821922,-0.355653,-0.267990
1,0.350,-0.5130,-7.829762,-0.348639,-0.268057
1,0.400,-0.5140,-7.835312,-0.342978,-0.267696
1,0.450,-0.5733,-7.843151,-0.336045,-0.267586
1,0.500,-0.6140,-7.849503,-0.330030,-0.267138
1,0.550,-0.6321,-7.856426,-0.323300,-0.266809
1,0.600,-0.7000,-7.864666,-0.316541,-0.266434
1,0.650,-0.6862,-7.870102,-0.310835,-0.265739
1,0.700,-0.7511,-7.877884,-0.303779,-0.265333
1,0.750,-0.7408,-7.882977,-0.298284,-0.264463
1,0.800,-0.8021,-7.891617,-0.291058,-0.263926
1,0.850,-0.8328,-7.897797,-0.285308,-0.263014
1,0.900,-0.8466,-7.904263,-0.278569,-0.262346
1,0.950,-0.8905,-7.910728,-0.272284,-0.261490
1,1.000,-0.8888,-7.916908,-0.266052,-0.260609
1,1.050,-0.9415,-7.924461,-0.259066,-0.259865
1,1.100,-0.9296,-7.930470,-0.253178,-0.258795
1,1.150,-0.9868,-7.937965,-0.246401,-0.257921
1,1.200,-0.9893,-7.943802,-0.240729,-0.256788
1,1.250,-1.0146,-7.951527,-0.233507,-0.255934
1,1.300,-1.0397,-7.957821,-0.227934,-0.254705
1,1.350,-1.0493,-7.964516,-0.221028,-0.253757
1,1.400,-1.0975,-7.971725,-0.214436,-0.252684
1,1.450,-1.0806,-7.977676,-0.208439,-0.251440
1,1.500,-1.1310,-7.985401,-0.201481,-0.250418
1,1.550,-1.1199,-7.990150,-0.195986,-0.249004
1,1.600,-1.1668,-7.997532,-0.188990,-0.247963
1,1.650,-1.1761,-8.003597,-0.183145,-0.246576
1,1.700,-1.1901,-8.010292,-0.176254,-0.245407
1,1.750,-1.2346,-8.017788,-0.169750,-0.244175
1,1.800,-1.2091,-8.023567,-0.163637,-0.242756
1,1.850,-1.2620,-8.031063,-0.157098,-0.241468
1,1.900,-1.2331,-8.036728,-0.151140,-0.240013
1,1.950,-1.2776,-8.044853,-0.144268,-0.238768
1,2.000,-1.2718,-8.050461,-0.138651,-0.237181
1,2.050,-1.3010,-8.057671,-0.131519,-0.235886
1,2.100,-1.3347,-8.064480,-0.125232,-0.234406
1,2.150,-1.3164,-8.070545,-0.118808,-0.232944
1,2.200,-1.3546,-8.077240,-0.112526,-0.231438
1,2.250,-1.3284,-8.083076,-0.106291,-0.229887
1,2.300,-1.3834,-8.090916,-0.099261,-0.228485
1,2.350,-1.3699,-8.096638,-0.093573,-0.226740
1,2.400,-1.3995,-8.104362,-0.086443,-0.225330
1,2.450,-1.4085,-8.110371,-0.080796,-0.223555
1,2.500,-1.4097,-8.117123,-0.074083,-0.221987
1,2.550,-1.4418,-8.124332,-0.067413,-0.220406
1,2.600,-1.4168,-8.129940,-0.061369,-0.218651
1,2.650,-1.4604,-8.137150,-0.054535,-0.217075
1,2.700,-1.4316,-8.142471,-0.048794,-0.215225
1,2.750,-1.4669,-8.150368,-0.041724,-0.213650
1,2.800,-1.4791,-8.155975,-0.036185,-0.211693
1,2.850,-1.4791,-8.163700,-0.029191,-0.210070
1,2.900,-1.5212,-8.170738,-0.022709,-0.208277
1,2.950,-1.4840,-8.176632,-0.016581,-0.206413
1,3.000,-1.5278,-8.184299,-0.009851,-0.204664
1,3.050,-1.4885,-8.189335,-0.004108,-0.202662
1,3.100,-1.5324,-8.197002,0.002958,-0.200937
1,3.150,-1.5175,-8.202209,0.008478,-0.198843
1,3.200,-1.5391,-8.209362,0.015493,-0.197096
1,3.250,-1.5618,-8.216171,0.021647,-0.195091
1,3.300,-1.5448,-8.222065,0.028348,-0.193199
1,3.350,-1.5868,-8.229275,0.034988,-0.191296
1,3.400,-1.5452,-8.234940,0.040713,-0.189175
1,3.450,-1.5837,-8.242493,0.047596,-0.187271
1,3.500,-1.5526,-8.248100,0.053365,-0.185114
1,3.550,-1.5797,-8.255482,0.060365,-0.183228
1,3.600,-1.6041,-8.262119,0.066381,-0.181076
1,3.650,-1.5856,-8.268299,0.073053,-0.179073
1,3.700,-1.6205,-8.275280,0.079316,-0.176960
1,3.750,-1.5823,-8.280945,0.085463,-0.174801
1,3.800,-1.6171,-8.288326,0.092391,-0.172789
1,3.850,-1.5813,-8.293133,0.098025,-0.170481
1,3.900,-1.6227,-8.300686,0.105048,-0.168432
1,3.950,-1.6276,-8.307095,0.110968,-0.166153
1,4.000,-1.6246,-8.313961,0.117793,-0.164063
1,4.050,-1.6401,-8.320656,0.123973,-0.161829
1,4.100,-1.6168,-8.326950,0.130369,-0.159592
