VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	12:06:17	04/06/2016

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	Ch0(V)
04/06/2016	12:12:30.9	    -2.290
04/06/2016	12:12:31.0	    -2.265
04/06/2016	12:12:31.1	    -2.245
04/06/2016	12:12:31.2	    -2.217
04/06/2016	12:12:31.3	    -2.194
04/06/2016	12:12:31.4	    -2.173
04/06/2016	12:12:31.5	    -2.120
04/06/2016	12:12:31.6	    -2.136
04/06/2016	12:12:31.7	    -2.093
04/06/2016	12:12:31.8	    -2.063
04/06/2016	12:12:31.9	    -2.029
04/06/2016	12:12:32.0	    -2.001
04/06/2016	12:12:32.1	    -1.972
04/06/2016	12:12:32.2	    -1.947
04/06/2016	12:12:32.3	    -1.917
04/06/2016	12:12:32.4	    -1.883
04/06/2016	12:12:32.5	    -1.851
04/06/2016	12:12:32.6	    -1.819
04/06/2016	12:12:32.7	    -1.790
04/06/2016	12:12:32.8	    -1.760
04/06/2016	12:12:32.9	    -1.728
04/06/2016	12:12:33.0	    -1.719
04/06/2016	12:12:33.1	    -1.656
04/06/2016	12:12:33.2	    -1.626
04/06/2016	12:12:33.3	    -1.592
04/06/2016	12:12:33.4	    -1.561
04/06/2016	12:12:33.5	    -1.551
04/06/2016	12:12:33.6	    -1.496
04/06/2016	12:12:33.7	    -1.461
04/06/2016	12:12:33.8	    -1.426
04/06/2016	12:12:33.9	    -1.391
04/06/2016	12:12:34.0	    -1.385
04/06/2016	12:12:34.1	    -1.325
04/06/2016	12:12:34.2	    -1.295
04/06/2016	12:12:34.3	    -1.265
04/06/2016	12:12:34.4	    -1.231
04/06/2016	12:12:34.5	    -1.196
04/06/2016	12:12:34.6	    -1.163
04/06/2016	12:12:34.7	    -1.129
04/06/2016	12:12:34.8	    -1.095
04/06/2016	12:12:34.9	    -1.060
04/06/2016	12:12:35.0	    -1.025
04/06/2016	12:12:35.1	    -0.996
04/06/2016	12:12:35.2	    -0.965
04/06/2016	12:12:35.3	    -0.929
04/06/2016	12:12:35.4	    -0.895
04/06/2016	12:12:35.5	    -0.859
04/06/2016	12:12:35.6	    -0.828
04/06/2016	12:12:35.7	    -0.802
04/06/2016	12:12:35.8	    -0.803
04/06/2016	12:12:35.9	    -0.812
04/06/2016	12:12:36.0	    -0.822
04/06/2016	12:12:36.1	    -0.848
04/06/2016	12:12:36.2	    -0.864
04/06/2016	12:12:36.3	    -0.879
04/06/2016	12:12:36.4	    -0.899
04/06/2016	12:12:36.5	    -0.920
04/06/2016	12:12:36.6	    -0.945
04/06/2016	12:12:36.7	    -0.969
04/06/2016	12:12:36.8	    -0.991
04/06/2016	12:12:36.9	    -1.012
04/06/2016	12:12:37.0	    -1.035
04/06/2016	12:12:37.1	    -1.068
04/06/2016	12:12:37.2	    -1.096
04/06/2016	12:12:37.3	    -1.120
04/06/2016	12:12:37.4	    -1.143
04/06/2016	12:12:37.5	    -1.172
04/06/2016	12:12:37.6	    -1.194
04/06/2016	12:12:37.7	    -1.222
04/06/2016	12:12:37.8	    -1.246
04/06/2016	12:12:37.9	    -1.277
04/06/2016	12:12:38.0	    -1.313
04/06/2016	12:12:38.1	    -1.330
04/06/2016	12:12:38.2	    -1.357
04/06/2016	12:12:38.3	    -1.381
04/06/2016	12:12:38.4	    -1.406
04/06/2016	12:12:38.5	    -1.432
04/06/2016	12:12:38.6	    -1.455
04/06/2016	12:12:38.7	    -1.483
04/06/2016	12:12:38.8	    -1.508
04/06/2016	12:12:38.9	    -1.539
04/06/2016	12:12:39.0	    -1.566
04/06/2016	12:12:39.1	    -1.590
04/06/2016	12:12:39.2	    -1.617
04/06/2016	12:12:39.3	    -1.644
04/06/2016	12:12:39.4	    -1.668
04/06/2016	12:12:39.5	    -1.692
04/06/2016	12:12:39.6	    -1.718
04/06/2016	12:12:39.7	    -1.742
04/06/2016	12:12:39.8	    -1.771
04/06/2016	12:12:39.9	    -1.798
04/06/2016	12:12:40.0	    -1.823
04/06/2016	12:12:40.1	    -1.851
04/06/2016	12:12:40.2	    -1.870
04/06/2016	12:12:40.3	    -1.893
04/06/2016	12:12:40.4	    -1.916
04/06/2016	12:12:40.5	    -1.940
04/06/2016	12:12:40.6	    -1.967
04/06/2016	12:12:40.7	    -2.005
04/06/2016	12:12:40.8	    -1.980
04/06/2016	12:12:40.9	    -1.964
04/06/2016	12:12:41.0	    -1.950
04/06/2016	12:12:41.1	    -1.938
04/06/2016	12:12:41.2	    -1.920
04/06/2016	12:12:41.3	    -1.903
04/06/2016	12:12:41.4	    -1.893
04/06/2016	12:12:41.5	    -1.862
04/06/2016	12:12:41.6	    -1.837
04/06/2016	12:12:41.7	    -1.814
04/06/2016	12:12:41.8	    -1.792
04/06/2016	12:12:41.9	    -1.809
04/06/2016	12:12:42.0	    -1.751
04/06/2016	12:12:42.1	    -1.729
04/06/2016	12:12:42.2	    -1.710
04/06/2016	12:12:42.3	    -1.683
04/06/2016	12:12:42.4	    -1.635
04/06/2016	12:12:42.5	    -1.635
04/06/2016	12:12:42.6	    -1.607
04/06/2016	12:12:42.7	    -1.581
04/06/2016	12:12:42.8	    -1.554
04/06/2016	12:12:42.9	    -1.449
04/06/2016	12:12:43.0	    -1.505
04/06/2016	12:12:43.1	    -1.474
04/06/2016	12:12:43.2	    -1.442
04/06/2016	12:12:43.3	    -1.419
04/06/2016	12:12:43.4	    -1.389
04/06/2016	12:12:43.5	    -1.362
04/06/2016	12:12:43.6	    -1.332
04/06/2016	12:12:43.7	    -1.304
04/06/2016	12:12:43.8	    -1.276
04/06/2016	12:12:43.9	    -1.243
04/06/2016	12:12:44.0	    -1.212
04/06/2016	12:12:44.1	    -1.183
04/06/2016	12:12:44.2	    -1.155
04/06/2016	12:12:44.3	    -1.123
04/06/2016	12:12:44.4	    -1.095
04/06/2016	12:12:44.5	    -1.069
04/06/2016	12:12:44.6	    -1.037
04/06/2016	12:12:44.7	    -1.009
04/06/2016	12:12:44.8	    -0.974
04/06/2016	12:12:44.9	    -0.946
04/06/2016	12:12:45.0	    -0.913
04/06/2016	12:12:45.1	    -0.884
04/06/2016	12:12:45.2	    -0.856
04/06/2016	12:12:45.3	    -0.833
04/06/2016	12:12:45.4	    -0.794
04/06/2016	12:12:45.5	    -0.759
04/06/2016	12:12:45.6	    -0.731
04/06/2016	12:12:45.7	    -0.713
04/06/2016	12:12:45.8	    -0.722
04/06/2016	12:12:45.9	    -0.736
04/06/2016	12:12:46.0	    -0.753
04/06/2016	12:12:46.1	    -0.770
04/06/2016	12:12:46.2	    -0.789
04/06/2016	12:12:46.3	    -0.809
04/06/2016	12:12:46.4	    -0.826
