VIRTUALBENCH-LOGGER 2.1 REPORT
NATIONAL INSTRUMENTS
DATE CREATED	15:56:51	04/09/2016

USER	


START COMMENT


END COMMENT

START DATA
Date	Time	Ch0(V)
04/09/2016	15:59:27.5	    -2.401
04/09/2016	15:59:27.6	    -2.348
04/09/2016	15:59:27.7	    -2.300
04/09/2016	15:59:27.8	    -2.245
04/09/2016	15:59:27.9	    -2.208
04/09/2016	15:59:28.0	    -2.142
04/09/2016	15:59:28.1	    -2.078
04/09/2016	15:59:28.2	    -2.029
04/09/2016	15:59:28.3	    -1.976
04/09/2016	15:59:28.4	    -1.918
04/09/2016	15:59:28.5	    -1.862
04/09/2016	15:59:28.6	    -1.809
04/09/2016	15:59:28.7	    -1.752
04/09/2016	15:59:28.8	    -1.689
04/09/2016	15:59:28.9	    -1.630
04/09/2016	15:59:29.0	    -1.575
04/09/2016	15:59:29.1	    -1.512
04/09/2016	15:59:29.2	    -1.452
04/09/2016	15:59:29.3	    -1.396
04/09/2016	15:59:29.4	    -1.337
04/09/2016	15:59:29.5	    -1.276
04/09/2016	15:59:29.6	    -1.220
04/09/2016	15:59:29.7	    -1.155
04/09/2016	15:59:29.8	    -1.098
04/09/2016	15:59:29.9	    -1.036
04/09/2016	15:59:30.0	    -0.975
04/09/2016	15:59:30.1	    -0.916
04/09/2016	15:59:30.2	    -0.857
04/09/2016	15:59:30.3	    -0.796
04/09/2016	15:59:30.4	    -0.735
04/09/2016	15:59:30.5	    -0.675
04/09/2016	15:59:30.6	    -0.612
04/09/2016	15:59:30.7	    -0.548
04/09/2016	15:59:30.8	    -0.489
04/09/2016	15:59:30.9	    -0.424
04/09/2016	15:59:31.0	    -0.359
04/09/2016	15:59:31.1	    -0.294
04/09/2016	15:59:31.2	    -0.263
04/09/2016	15:59:31.3	    -0.277
04/09/2016	15:59:31.4	    -0.342
04/09/2016	15:59:31.5	    -0.350
04/09/2016	15:59:31.6	    -0.387
04/09/2016	15:59:31.7	    -0.432
04/09/2016	15:59:31.8	    -0.482
04/09/2016	15:59:31.9	    -0.504
04/09/2016	15:59:32.0	    -0.583
04/09/2016	15:59:32.1	    -0.636
04/09/2016	15:59:32.2	    -0.694
04/09/2016	15:59:32.3	    -0.755
04/09/2016	15:59:32.4	    -0.808
04/09/2016	15:59:32.5	    -0.868
04/09/2016	15:59:32.6	    -0.927
04/09/2016	15:59:32.7	    -0.986
04/09/2016	15:59:32.8	    -1.041
04/09/2016	15:59:32.9	    -1.095
04/09/2016	15:59:33.0	    -1.157
04/09/2016	15:59:33.1	    -1.217
04/09/2016	15:59:33.2	    -1.273
04/09/2016	15:59:33.3	    -1.330
04/09/2016	15:59:33.4	    -1.396
04/09/2016	15:59:33.5	    -1.448
04/09/2016	15:59:33.6	    -1.505
04/09/2016	15:59:33.7	    -1.567
04/09/2016	15:59:33.8	    -1.620
04/09/2016	15:59:33.9	    -1.689
04/09/2016	15:59:34.0	    -1.733
04/09/2016	15:59:34.1	    -1.789
04/09/2016	15:59:34.2	    -1.847
04/09/2016	15:59:34.3	    -1.900
04/09/2016	15:59:34.4	    -1.955
04/09/2016	15:59:34.5	    -2.014
04/09/2016	15:59:34.6	    -2.065
04/09/2016	15:59:34.7	    -2.115
04/09/2016	15:59:34.8	    -2.169
04/09/2016	15:59:34.9	    -2.224
04/09/2016	15:59:35.0	    -2.276
04/09/2016	15:59:35.1	    -2.325
04/09/2016	15:59:35.2	    -2.376
04/09/2016	15:59:35.3	    -2.428
04/09/2016	15:59:35.4	    -2.479
04/09/2016	15:59:35.5	    -2.523
04/09/2016	15:59:35.6	    -2.570
04/09/2016	15:59:35.7	    -2.616
04/09/2016	15:59:35.8	    -2.667
04/09/2016	15:59:35.9	    -2.708
04/09/2016	15:59:36.0	    -2.749
04/09/2016	15:59:36.1	    -2.794
04/09/2016	15:59:36.2	    -2.828
04/09/2016	15:59:36.3	    -2.815
04/09/2016	15:59:36.4	    -2.794
04/09/2016	15:59:36.5	    -2.765
04/09/2016	15:59:36.6	    -2.729
04/09/2016	15:59:36.7	    -2.688
04/09/2016	15:59:36.8	    -2.647
04/09/2016	15:59:36.9	    -2.602
04/09/2016	15:59:37.0	    -2.549
04/09/2016	15:59:37.1	    -2.507
04/09/2016	15:59:37.2	    -2.462
04/09/2016	15:59:37.3	    -2.403
04/09/2016	15:59:37.4	    -2.353
04/09/2016	15:59:37.5	    -2.305
04/09/2016	15:59:37.6	    -2.247
04/09/2016	15:59:37.7	    -2.190
04/09/2016	15:59:37.8	    -2.139
04/09/2016	15:59:37.9	    -2.088
04/09/2016	15:59:38.0	    -2.033
04/09/2016	15:59:38.1	    -1.966
04/09/2016	15:59:38.2	    -1.908
04/09/2016	15:59:38.3	    -1.852
04/09/2016	15:59:38.4	    -1.779
04/09/2016	15:59:38.5	    -1.728
04/09/2016	15:59:38.6	    -1.677
04/09/2016	15:59:38.7	    -1.618
04/09/2016	15:59:38.8	    -1.555
04/09/2016	15:59:38.9	    -1.499
04/09/2016	15:59:39.0	    -1.436
04/09/2016	15:59:39.1	    -1.374
04/09/2016	15:59:39.2	    -1.315
04/09/2016	15:59:39.3	    -1.255
04/09/2016	15:59:39.4	    -1.195
04/09/2016	15:59:39.5	    -1.131
04/09/2016	15:59:39.6	    -1.071
04/09/2016	15:59:39.7	    -1.010
04/09/2016	15:59:39.8	    -0.953
04/09/2016	15:59:39.9	    -0.888
04/09/2016	15:59:40.0	    -0.822
04/09/2016	15:59:40.1	    -0.764
04/09/2016	15:59:40.2	    -0.708
04/09/2016	15:59:40.3	    -0.643
04/09/2016	15:59:40.4	    -0.579
04/09/2016	15:59:40.5	    -0.522
04/09/2016	15:59:40.6	    -0.461
04/09/2016	15:59:40.7	    -0.396
04/09/2016	15:59:40.8	    -0.337
